200000 5000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
2 1 200000
